id,name,region_id,federal_district_id
742,Переславль-Залесский,60,6
743,Пермь,49,7
744,Пестово,77,2
745,Петров Вал,50,8
746,Петровск,17,7
747,Петровск-Забайкальский,1,5
748,Петрозаводск,80,2
749,Петропавловск-Камчатский,8,4
750,Петухово,4,1
751,Петушки,46,6
752,Печора,37,2
753,Печоры,79,2
754,Пикалёво,19,2
755,Пионерский,14,2
756,Питкяранта,80,2
757,Плавск,40,6
758,Пласт,53,1
759,Плёс,42,6
760,Поворино,65,6
761,Подольск,73,6
762,Подпорожье,19,2
763,Покачи,61,1
764,Покров,46,6
765,Покровск,21,4
766,Полевской,29,1
767,Полесск,14,2
768,Полысаево,12,5
769,Полярные Зори,10,2
770,Полярный,10,2
771,Поронайск,76,4
772,Порхов,79,2
773,Похвистнево,78,7
774,Почеп,84,6
775,Починок,16,6
776,Пошехонье,60,6
777,Правдинск,14,2
778,Приволжск,42,6
779,Приморск,14,2
780,Приморск,19,2
781,Приморско-Ахтарск,24,8
782,Приозерск,19,2
783,Прокопьевск,12,5
784,Пролетарск,33,8
785,Протвино,73,6
786,Прохладный,38,3
787,Псков,79,2
788,Пугачёв,17,7
789,Пудож,80,2
790,Пустошка,79,2
791,Пучеж,42,6
792,Пушкино,73,6
793,Пущино,73,6
794,Пыталово,79,2
795,Пыть-Ях,61,1
796,Пятигорск,72,3
797,Радужный,46,6
798,Радужный,61,1
799,Райчихинск,67,4
800,Раменское,73,6
801,Рассказово,3,6
802,Ревда,29,1
803,Реж,29,1
804,Реутов,73,6
805,Ржев,83,6
806,Родники,42,6
807,Рославль,16,6
808,Россошь,65,6
809,Ростов-на-Дону,33,8
810,Ростов,60,6
811,Рошаль,73,6
812,Ртищево,17,7
813,Рубцовск,62,5
814,Рудня,16,6
815,Руза,73,6
816,Рузаевка,6,7
817,Рыбинск,60,6
818,Рыбное,74,6
819,Рыльск,54,6
820,Ряжск,74,6
821,Рязань,74,6
822,Саки,44,8
823,Салават,86,7
824,Салаир,12,5
825,Салехард,82,1
826,Сальск,33,8
827,Самара,78,7
828,Санкт-Петербург,11,2
829,Саранск,6,7
830,Сарапул,81,7
831,Саратов,17,7
832,Саров,71,7
833,Сасово,74,6
834,Сатка,53,1
835,Сафоново,16,6
836,Саяногорск,64,5
837,Саянск,75,5
838,Светлогорск,14,2
839,Светлоград,72,3
840,Светлый,14,2
841,Светогорск,19,2
842,Свирск,75,5
843,Свободный,67,4
844,Себеж,79,2
845,Севастополь,63,8
846,Северо-Курильск,76,4
847,Северобайкальск,68,5
848,Северодвинск,25,2
849,Североморск,10,2
850,Североуральск,29,1
851,Северск,66,5
852,Севск,84,6
853,Сегежа,80,2
854,Сельцо,84,6
855,Семёнов,71,7
856,Семикаракорск,33,8
857,Семилуки,65,6
858,Сенгилей,57,7
859,Серафимович,50,8
860,Сергач,71,7
861,Сергиев Посад,73,6
862,Сердобск,59,7
863,Серов,29,1
864,Серпухов,73,6
865,Сертолово,19,2
866,Сибай,86,7
867,Сим,53,1
868,Симферополь,44,8
869,Сковородино,67,4
870,Скопин,74,6
871,Славгород,62,5
872,Славск,14,2
873,Славянск-на-Кубани,24,8
874,Сланцы,19,2
875,Слободской,41,7
876,Слюдянка,75,5
877,Смоленск,16,6
878,Снежинск,53,1
879,Снежногорск,10,2
880,Собинка,46,6
881,Советск,14,2
882,Советск,41,7
